"","date","opt JHH","opt SH","opt BMC","opt HCGH","opt SMH","mod JHH","mod SH","mod BMC","mod HCGH","mod SMH","pess JHH","pess SH","pess BMC","pess HCGH","pess SMH"
"363",2021-02-26,8.10714285714286,9.32142857142857,5.35714285714286,14.1428571428571,2.89285714285714,12.3063063063063,13.5855855855856,8.24324324324324,22.1711711711712,4.28828828828829,11,13,6.66666666666667,19.6666666666667,6.33333333333333
"364",2021-02-27,8.10714285714286,9.92857142857143,5.53571428571429,13.75,3.14285714285714,11.4234234234234,13.8108108108108,7.54954954954955,22.0990990990991,4.05405405405405,11,13,6.33333333333333,21.3333333333333,1.33333333333333
"365",2021-02-28,7.92857142857143,8.21428571428571,5.96428571428571,14.9642857142857,2.75,11.7927927927928,12.7117117117117,7.42342342342342,22,3.97297297297297,8,11.3333333333333,6.33333333333333,22,1.66666666666667
"366",2021-03-01,7.96428571428571,8.5,5.67857142857143,13.3928571428571,2.46428571428571,11.8738738738739,12.3423423423423,7.07207207207207,21.0720720720721,3.68468468468468,12,13,6.33333333333333,19.3333333333333,4.66666666666667
"367",2021-03-02,7.89285714285714,8.14285714285714,4.85714285714286,14.7142857142857,2.78571428571429,11.6216216216216,12.3693693693694,7.43243243243243,21.5135135135135,4.38738738738739,7.33333333333333,11.3333333333333,6.33333333333333,20.6666666666667,3.66666666666667
"368",2021-03-03,7.53571428571429,8.35714285714286,5.25,14.3928571428571,2.46428571428571,11.4954954954955,12.1891891891892,7.05405405405405,20.7477477477477,3.96396396396396,7.66666666666667,7.33333333333333,5.33333333333333,18.3333333333333,2.66666666666667
"369",2021-03-04,7.46428571428571,7.53571428571429,4.5,13.9642857142857,3.10714285714286,11.6036036036036,12.4234234234234,7.23423423423423,19.7837837837838,3.43243243243243,7.66666666666667,9.66666666666667,4.33333333333333,22.3333333333333,3.66666666666667
"370",2021-03-05,8.85714285714286,8.5,5.5,14.2857142857143,2.42857142857143,11.5585585585586,11.6936936936937,7.0990990990991,20.2072072072072,3.38738738738739,10,7.33333333333333,4.66666666666667,17.6666666666667,4
"371",2021-03-06,7.42857142857143,7.75,4.82142857142857,13.1785714285714,2.5,11.3603603603604,11.2342342342342,7.03603603603604,19.4684684684685,3.45945945945946,8.66666666666667,11.3333333333333,4.66666666666667,16,3
"372",2021-03-07,7.64285714285714,7.82142857142857,4.5,13.6785714285714,2.10714285714286,10.4414414414414,11.4324324324324,6.63063063063063,19.6126126126126,3.20720720720721,7.33333333333333,11,3.66666666666667,15.6666666666667,3
"373",2021-03-08,6.71428571428571,7.67857142857143,5.35714285714286,12.8214285714286,2.57142857142857,9.94594594594595,10.8648648648649,6.20720720720721,18.7387387387387,3.64864864864865,8,6.33333333333333,3.66666666666667,11.6666666666667,3.33333333333333
"374",2021-03-09,6.25,7.89285714285714,4.75,12.9285714285714,2.71428571428571,9.75675675675676,10.7477477477477,6.23423423423423,18.8558558558559,3.23423423423423,3.33333333333333,6.66666666666667,6.33333333333333,15,2.66666666666667
"375",2021-03-10,7.46428571428571,7.10714285714286,4.10714285714286,12.7857142857143,2.60714285714286,9.97297297297297,10.7117117117117,6.24324324324324,17.1711711711712,2.9009009009009,8.66666666666667,6.66666666666667,5,12,1.66666666666667
"376",2021-03-11,6.71428571428571,7.67857142857143,4.67857142857143,12.2142857142857,2.32142857142857,9.11711711711712,10.1621621621622,5.73873873873874,17.2432432432432,3.34234234234234,5.66666666666667,6.33333333333333,2,12.6666666666667,2.33333333333333
"377",2021-03-12,6.82142857142857,6.53571428571429,4.21428571428571,9.96428571428571,1.82142857142857,8.99099099099099,9.61261261261261,5.65765765765766,15.990990990991,3.20720720720721,8,6.66666666666667,5,9.33333333333333,1.33333333333333
